ground_id,dimensions,layers,tiles,chunks,collision,animations,status,composite_png
D22P01,51x45 tuiles,1,695,161,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D22P01/composite.png
D23P01,45x42 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D23P01/composite.png
D24P01,?,0,0,0,?,,BLOCKED,
D24P02,51x36 tuiles,1,659,175,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D24P02/composite.png
D25P01,45x42 tuiles,1,106,17,PROVEN,"[0, 0, 0, 0]",FULL,grounds/D25P01/composite.png
H01P01,57x30 tuiles,1,894,190,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H01P01W,?,0,0,0,?,,BLOCKED,
H01P02,60x42 tuiles,1,859,251,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H01P02/composite.png
H01P03,66x45 tuiles,1,647,234,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H02P01,60x42 tuiles,1,836,271,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H02P01/composite.png
H02P01W,?,0,0,0,?,,BLOCKED,
H02P02,57x39 tuiles,1,590,202,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H02P02W,?,0,0,0,?,,BLOCKED,
H02P03,?,0,0,0,?,,BLOCKED,
H02P03W,?,0,0,0,?,,BLOCKED,
H03P01,?,0,0,0,?,,BLOCKED,
H04P01,63x42 tuiles,1,861,250,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H04P02,60x42 tuiles,1,888,261,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H04P02/composite.png
H05P01,?,0,0,0,?,,BLOCKED,
H05P02,57x39 tuiles,1,851,243,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H06P01,?,0,0,0,?,,BLOCKED,
H06P02,?,0,0,0,?,,BLOCKED,
H06P03,57x42 tuiles,1,797,232,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H06P03/composite.png
H06P04,60x42 tuiles,1,871,269,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H06P04/composite.png
H06P05,?,0,0,0,?,,BLOCKED,
H06P06,60x39 tuiles,1,855,258,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H06P06/composite.png
H07P01,?,0,0,0,?,,BLOCKED,
H07P02,?,0,0,0,?,,BLOCKED,
H07P03,60x39 tuiles,1,832,0,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H07P04,60x42 tuiles,1,716,228,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H07P04/composite.png
H07P04W,?,0,0,0,?,,BLOCKED,
H07P05,57x42 tuiles,1,865,248,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H07P05/composite.png
H07P06,?,0,0,0,?,,BLOCKED,
H07P07,?,0,0,0,?,,BLOCKED,
H07P08,57x39 tuiles,1,881,244,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H08P01,?,0,0,0,?,,BLOCKED,
H09P01,?,0,0,0,?,,BLOCKED,
H09P02,?,0,0,0,?,,BLOCKED,
H10P01,?,0,0,0,?,,BLOCKED,
H10P02,?,0,0,0,?,,BLOCKED,
H11P01,?,0,0,0,?,,BLOCKED,
H12P01,?,0,0,0,?,,BLOCKED,
H13P01,63x45 tuiles,1,890,300,PROVEN,"[2, 0, 0, 0]",FULL,grounds/H13P01/composite.png
H13P02,45x39 tuiles,1,757,186,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H13P02/composite.png
H13P03,57x39 tuiles,1,870,245,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H13P03/composite.png
H13P04,63x45 tuiles,1,892,306,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H13P04/composite.png
H14P01,?,0,0,0,?,,BLOCKED,
H15P01,?,0,0,0,?,,BLOCKED,
H16P01,60x42 tuiles,1,859,273,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H17P01,?,0,0,0,?,,BLOCKED,
H17P01W,?,0,0,0,?,,BLOCKED,
H18P01,?,0,0,0,?,,BLOCKED,
H19P01,?,0,0,0,?,,BLOCKED,
H19P01W,?,0,0,0,?,,BLOCKED,
H20P01,?,0,0,0,?,,BLOCKED,
H22P01,?,0,0,0,?,,BLOCKED,
H23P01,57x39 tuiles,1,871,238,PROVEN,"[6, 0, 0, 0]",FULL,grounds/H23P01/composite.png
H24P01,60x45 tuiles,1,871,260,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H25P01,?,0,0,0,?,,BLOCKED,
H26P01,?,0,0,0,?,,BLOCKED,
H27P01,?,0,0,0,?,,BLOCKED,
H28P01,60x39 tuiles,1,696,252,PROVEN,"[0, 0, 0, 0]",PARTIAL,
H28P02,60x39 tuiles,1,878,260,PROVEN,"[0, 0, 0, 0]",FULL,grounds/H28P02/composite.png
H29P01,?,0,0,0,?,,BLOCKED,
H29P02,?,0,0,0,?,,BLOCKED,
H29P03,?,0,0,0,?,,BLOCKED,
H29P03W,?,0,0,0,?,,BLOCKED,
H29P04,?,0,0,0,?,,BLOCKED,
S02,?,0,0,0,?,,BLOCKED,
S02_FRE,?,0,0,0,?,,BLOCKED,
S02_GER,?,0,0,0,?,,BLOCKED,
S02_ITA,?,0,0,0,?,,BLOCKED,
S02_SPA,?,0,0,0,?,,BLOCKED,
S03,39x45 tuiles,1,821,104,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S03/composite.png
S04,33x96 tuiles,1,354,94,PROVEN,"[0, 0, 0, 0]",PARTIAL,
S05,33x42 tuiles,1,297,105,PROVEN,"[0, 0, 0, 0]",PARTIAL,
S05_FRE,33x42 tuiles,1,356,115,PROVEN,"[0, 0, 0, 0]",PARTIAL,
S05_GER,33x42 tuiles,1,370,120,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S05_GER/composite.png
S05_ITA,33x42 tuiles,1,361,124,PROVEN,"[0, 0, 0, 0]",PARTIAL,
S05_SPA,33x42 tuiles,1,335,127,PROVEN,"[0, 0, 0, 0]",PARTIAL,
S06,33x24 tuiles,1,736,88,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S06/composite.png
S06_FRE,33x24 tuiles,1,759,88,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S06_FRE/composite.png
S06_GER,33x24 tuiles,1,759,88,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S06_GER/composite.png
S06_ITA,33x24 tuiles,1,759,88,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S06_ITA/composite.png
S06_SPA,33x24 tuiles,1,759,88,PROVEN,"[0, 0, 0, 0]",FULL,grounds/S06_SPA/composite.png
T00P01,144x111 tuiles,1,405,93,PROVEN,"[0, 0, 0, 0]",FULL,grounds/T00P01/composite.png
T01P01,?,0,0,0,?,,BLOCKED,
T01P03,?,0,0,0,?,,BLOCKED,
T01P04,66x66 tuiles,1,879,192,PROVEN,"[0, 0, 0, 0]",FULL,grounds/T01P04/composite.png
T01P05,?,0,0,0,?,,BLOCKED,
T01P07,?,0,0,0,?,,BLOCKED,
T01P07W,?,0,0,0,?,,BLOCKED,
W01,144x111 tuiles,1,38,13,PROVEN,"[0, 0, 0, 0]",FULL,grounds/W01/composite.png
W03P01,?,0,0,0,?,,BLOCKED,
W03P02,?,0,0,0,?,,BLOCKED,
W03P03,?,0,0,0,?,,BLOCKED,
W04,180x120 tuiles,1,2,12,PROVEN,"[6, 0, 0, 0]",FULL,grounds/W04/composite.png
W05,?,0,0,0,?,,BLOCKED,
W06,42x30 tuiles,1,124,63,PROVEN,"[0, 0, 0, 0]",FULL,grounds/W06/composite.png
