seq_index,nom,file_id,fat_offset,fat_size,magic
35,SND_BGM_M_HABITAT_NAZO_01,35,0x3d7e0,5456,SSEQ
36,SND_BGM_M_EVENT_ESCAPE_02,36,0x3ed40,4560,SSEQ
37,SND_BGM_M_EVENT_ENV_SOUL,37,0x3ff20,4680,SSEQ
38,SND_BGM_M_EVENT_ENV_HONOU,38,0x41180,756,SSEQ
39,SND_BGM_M_DUNGEON_JUHYOU_02,39,0x41480,8740,SSEQ
40,SND_BGM_M_SYS_TITLE_01,40,0x436c0,4144,SSEQ
41,SND_BGM_M_EVENT_SEPARATION_01,41,0x44700,4220,SSEQ
42,SND_BGM_M_EVENT_SEPARATION_02,42,0x45780,8132,SSEQ
43,SND_BGM_M_SYS_TITLE_02,43,0x47760,3232,SSEQ
44,SND_BGM_M_SYS_ENDING_01,44,0x48400,19756,SSEQ
45,SND_BGM_M_SYS_ENDING_02,45,0x4d140,3976,SSEQ
46,SND_BGM_M_SYS_TITLE_03,46,0x4e0e0,2216,SSEQ
47,(trou),,,,
48,(trou),,,,
49,(trou),,,,
50,SND_BGM_M_EVENT_ZUKKOKE,47,0x4e9a0,56,SSEQ
51,SND_BGM_M_EVENT_CALMLY,48,0x4e9e0,576,SSEQ
52,SND_BGM_M_DUNGEON_GUNJYOU_01,49,0x4ec20,492,SSEQ
53,(trou),,,,
54,(trou),,,,
55,(trou),,,,
56,(trou),,,,
57,(trou),,,,
58,(trou),,,,
59,(trou),,,,
60,(trou),,,,
61,(trou),,,,
62,(trou),,,,
63,(trou),,,,
64,(trou),,,,
65,(trou),,,,
66,(trou),,,,
67,(trou),,,,
68,(trou),,,,
69,(trou),,,,
70,(trou),,,,
71,(trou),,,,
72,(trou),,,,
73,(trou),,,,
74,(trou),,,,
75,(trou),,,,
76,(trou),,,,
77,(trou),,,,
78,(trou),,,,
79,(trou),,,,
80,(trou),,,,
81,(trou),,,,
82,(trou),,,,
83,(trou),,,,
84,(trou),,,,
85,(trou),,,,
86,(trou),,,,
87,(trou),,,,
88,(trou),,,,
89,(trou),,,,
90,(trou),,,,
91,(trou),,,,
92,(trou),,,,
93,(trou),,,,
94,(trou),,,,
95,(trou),,,,
96,(trou),,,,
97,(trou),,,,
98,(trou),,,,
99,(trou),,,,
100,SYS_02,50,0x4ee20,7280,SSEQ
101,SYS_03,51,0x50aa0,5824,SSEQ
102,SYS_04,52,0x52160,9312,SSEQ
103,SYS_05,53,0x545c0,7292,SSEQ
104,SYS_06,54,0x56240,10408,SSEQ
105,SYS_07,55,0x58b00,8072,SSEQ
106,SYS_08,56,0x5aaa0,4032,SSEQ
107,SYS_09,57,0x5ba60,7420,SSEQ
108,SYS_10,58,0x5d760,17076,SSEQ
109,DS_SYS_01,59,0x61a20,8172,SSEQ
110,WAZA,60,0x63a20,7216,SSEQ
111,WAZA_CLEAR,61,0x65660,7916,SSEQ
112,ITEM_M,62,0x67560,2408,SSEQ
113,ITEM_M_03,63,0x67ee0,8816,SSEQ
114,MOTION_MONEY,64,0x6a160,1300,SSEQ
115,MOTION_ITEM,65,0x6a680,11004,SSEQ
116,MOTION_EAT,66,0x6d180,3504,SSEQ
117,MOTION_THROW,67,0x6df40,4308,SSEQ
118,MOTION_THROW_02,68,0x6f020,3108,SSEQ
119,MOTION_THROW_03,69,0x6fc60,4456,SSEQ
120,MOTION_HUNGRY,70,0x70de0,13728,SSEQ
121,MOTION_STAIRS_UP,71,0x74380,3052,SSEQ
122,MOTION_STAIRS_DOWN,72,0x74f80,10588,SSEQ
123,MISS_PLAYER_M,73,0x778e0,9428,SSEQ
124,MISS_ENEMY_M,74,0x79dc0,31820,SSEQ
125,TAIATARI_M,75,0x81a20,5224,SSEQ
126,MOTION_BREAK,76,0x82ea0,9668,SSEQ
127,MOTION_DOOR_GENERAL,77,0x85480,4688,SSEQ
128,MOTION_DOOR_BIG,78,0x866e0,8756,SSEQ
129,(trou),,,,
130,(trou),,,,
131,(trou),,,,
132,(trou),,,,
133,(trou),,,,
134,(trou),,,,
135,(trou),,,,
136,(trou),,,,
137,(trou),,,,
138,(trou),,,,
139,(trou),,,,
140,(trou),,,,
141,(trou),,,,
142,(trou),,,,
143,(trou),,,,
144,(trou),,,,
145,(trou),,,,
146,(trou),,,,
147,(trou),,,,
148,(trou),,,,
149,(trou),,,,
150,(trou),,,,
151,(trou),,,,
152,(trou),,,,
153,(trou),,,,
154,(trou),,,,
155,(trou),,,,
156,(trou),,,,
157,(trou),,,,
158,(trou),,,,
159,(trou),,,,
160,(trou),,,,
161,(trou),,,,
162,(trou),,,,
163,(trou),,,,
164,(trou),,,,
165,(trou),,,,
166,(trou),,,,
167,(trou),,,,
168,(trou),,,,
169,(trou),,,,
170,(trou),,,,
171,(trou),,,,
172,(trou),,,,
173,(trou),,,,
174,(trou),,,,
175,(trou),,,,
176,(trou),,,,
177,(trou),,,,
178,(trou),,,,
179,(trou),,,,
180,(trou),,,,
181,(trou),,,,
182,(trou),,,,
183,(trou),,,,
184,(trou),,,,
185,(trou),,,,
186,(trou),,,,
187,(trou),,,,
188,(trou),,,,
189,(trou),,,,
190,(trou),,,,
191,(trou),,,,
192,(trou),,,,
193,(trou),,,,
194,(trou),,,,
195,(trou),,,,
196,(trou),,,,
197,(trou),,,,
198,(trou),,,,
199,(trou),,,,
200,EVENT_SIGN_HATENA_02,79,0x88920,484,SSEQ
201,EVENT_SIGN_HATENA_03,80,0x88b20,448,SSEQ
202,EVENT_SIGN_ASE_01,81,0x88ce0,188,SSEQ
203,EVENT_SIGN_ANGER_01,82,0x88da0,240,SSEQ
204,EVENT_SIGN_ANGER_02,83,0x88ea0,296,SSEQ
205,EVENT_SIGN_SHOCK_01,84,0x88fe0,388,SSEQ
206,EVENT_MOTION_QUACK_01,85,0x89180,292,SSEQ
207,EVENT_MOTION_FEATHER_01,86,0x892c0,180,SSEQ
208,EVENT_EFF_DIZZINESS_01,87,0x89380,484,SSEQ
209,(trou),,,,
210,EVENT_MOTION_JUMP_03,88,0x89580,532,SSEQ
211,EVENT_FLASH_02,89,0x897a0,332,SSEQ
212,EVENT_SNEEZE,90,0x89900,412,SSEQ
213,EVENT_LIGHT_02,91,0x89aa0,240,SSEQ
214,EVENT_SIGN_SHOCK_02,92,0x89ba0,228,SSEQ
215,EVENT_FALL_01,93,0x89ca0,484,SSEQ
216,EVENT_LIGHT_03_L,94,0x89ea0,448,SSEQ
217,EVENT_INTERFERE_01,95,0x8a060,764,SSEQ
218,EVENT_MOTION_HOLEUP_01,96,0x8a360,220,SSEQ
219,EVENT_WHITEOUT_03,97,0x8a440,652,SSEQ
